Claim,predicted_label,dbpedia_iris,isFood,wiki_urls
ALA contributes to the maintenance of normal blood cholesterol levels,ALA,['http://dbpedia.org/resource/Indy_Grand_Prix_of_Alabama'],0,['http://en.wikipedia.org/wiki/Indy_Grand_Prix_of_Alabama']
Activated charcoal contributes to reducing exessive flatulence after eating,Activated charcoal,"['', 'http://dbpedia.org/resource/Activated_carbon', 'http://dbpedia.org/resource/Charcoal']",1,"['http://en.wikipedia.org/wiki/Activated', 'http://en.wikipedia.org/wiki/Activated_carbon', 'http://en.wikipedia.org/wiki/Charcoal']"
Activated charcoal contributes to reducing exessive flatulence after eating,eating,['http://dbpedia.org/resource/Eating'],0,['http://en.wikipedia.org/wiki/Eating']
Barley grain fibre contributes to an increase in faecal bulk,Barley grain fibre,"['http://dbpedia.org/resource/Barley', '', 'http://dbpedia.org/resource/Fiber']",1,"['http://en.wikipedia.org/wiki/Barley', 'http://en.wikipedia.org/wiki/Grain', 'http://en.wikipedia.org/wiki/Fiber']"
Beta-glucans contribute to the maintenance of normal blood cholesterol levels,Beta-glucans,[],0,[]
Betaine contributes to normal homocysteine metabolism,Betaine,['http://dbpedia.org/resource/Betaine'],0,['http://en.wikipedia.org/wiki/Betaine']
Biotin contributes to normal energy-yielding metabolism,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to normal functioning of the nervous system,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to normal macronutrient metabolism,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to normal macronutrient metabolism,macronutrient,['http://dbpedia.org/resource/Nutrient'],0,['http://en.wikipedia.org/wiki/Nutrient']
Biotin contributes to normal psychological function,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to the maintenance of normal hair,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to the maintenance of normal mucous membranes,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to the maintenance of normal skin,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Calcium contributes to normal blood clotting,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium contributes to normal energy-yielding metabolism,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium contributes to normal muscle function,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium contributes to normal neurotransmission,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium contributes to the normal function of digestive enzymes,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium has a role in the process of cell division and specialisation,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium is needed for the maintenance of normal bones,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Calcium is needed for the maintenance of normal teeth,Calcium,['http://dbpedia.org/resource/Calcium'],1,['http://en.wikipedia.org/wiki/Calcium']
Carbohydrate-electrolyte solutions contribute to the maintenance of endurance performing during prolonged endurance exercise ,carbohydrate-electrolyte solutions,['http://dbpedia.org/resource/Equation_solving'],0,['http://en.wikipedia.org/wiki/Equation_solving']
Carbohydrate-electrolyte solutions enhance the absorption of water during physical exercise,Carbohydrate-electrolyte solutions,['http://dbpedia.org/resource/Equation_solving'],0,['http://en.wikipedia.org/wiki/Equation_solving']
Carbohydrates contribute to the maintenance of normal brain function,Carbohydrates,['http://dbpedia.org/resource/Carbohydrate'],1,['http://en.wikipedia.org/wiki/Carbohydrate']
Chitosan contributes to the maintenance of normal blood cholesterol levels,Chitosan,['http://dbpedia.org/resource/Chitosan'],1,['http://en.wikipedia.org/wiki/Chitosan']
Chloride contributes to normal digestion by production of hydrochloric acid in the stomach,Chloride,['http://dbpedia.org/resource/Chloride'],1,['http://en.wikipedia.org/wiki/Chloride']
Choline contributes to normal homocysteine metabolism,Choline,['http://dbpedia.org/resource/Choline'],1,['http://en.wikipedia.org/wiki/Choline']
Choline contributes to normal lipid metabolism,Choline,['http://dbpedia.org/resource/Choline'],1,['http://en.wikipedia.org/wiki/Choline']
Choline contributes to the maintenance of normal liver function,Choline,['http://dbpedia.org/resource/Choline'],1,['http://en.wikipedia.org/wiki/Choline']
Chromium contributes to normal macronutrient metabolism,Chromium,['http://dbpedia.org/resource/Chromium'],0,['http://en.wikipedia.org/wiki/Chromium']
Chromium contributes to the maintenance of normal blood glucose levels,Chromium,['http://dbpedia.org/resource/Chromium'],0,['http://en.wikipedia.org/wiki/Chromium']
Consumption of hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal ,hydroxypropyl methylcellulose,"['http://dbpedia.org/resource/Hypromellose', 'http://dbpedia.org/resource/Methyl_cellulose']",1,"['http://en.wikipedia.org/wiki/Hypromellose', 'http://en.wikipedia.org/wiki/Methyl_cellulose']"
Consumption of hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal ,meal,['http://dbpedia.org/resource/Meal'],0,['http://en.wikipedia.org/wiki/Meal']
Consumption of alpha-cyclodextrin as a part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,alpha-cyclodextrin,[],0,[]
Consumption of alpha-cyclodextrin as a part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,starch-containing meal,['http://dbpedia.org/resource/Meal'],0,['http://en.wikipedia.org/wiki/Meal']
Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal ,arabinoxylan,['http://dbpedia.org/resource/Arabinoxylan'],0,['http://en.wikipedia.org/wiki/Arabinoxylan']
Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal ,meal,['http://dbpedia.org/resource/Meal'],0,['http://en.wikipedia.org/wiki/Meal']
Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal ,beta-glucans,['http://dbpedia.org/resource/Beta-glucan'],0,['http://en.wikipedia.org/wiki/Beta-glucan']
Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal ,oats,['http://dbpedia.org/resource/Oat'],1,['http://en.wikipedia.org/wiki/Oat']
Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal ,barley,['http://dbpedia.org/resource/Barley'],1,['http://en.wikipedia.org/wiki/Barley']
Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose ,fructose,['http://dbpedia.org/resource/Fructose'],1,['http://en.wikipedia.org/wiki/Fructose']
Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose ,sucrose,['http://dbpedia.org/resource/Sucrose'],1,['http://en.wikipedia.org/wiki/Sucrose']
Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose ,glucose,['http://dbpedia.org/resource/Glucose'],1,['http://en.wikipedia.org/wiki/Glucose']
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* contributes to the maintenance of tooth mineralisation,['name of sugar replacer'],"['http://dbpedia.org/resource/Bracket', 'http://dbpedia.org/resource/Sugar']",0,"['http://en.wikipedia.org/wiki/Bracket', 'http://en.wikipedia.org/wiki/Sugar']"
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,sugar replacer,['http://dbpedia.org/resource/Sugar'],0,['http://en.wikipedia.org/wiki/Sugar']
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,sugar,['http://dbpedia.org/resource/Sugar'],0,['http://en.wikipedia.org/wiki/Sugar']
Consumption of pectins with a meal contributes to the reduction of the blood glucose rise after that meal,pectins,['http://dbpedia.org/resource/Pectin'],0,['http://en.wikipedia.org/wiki/Pectin']
Consumption of pectins with a meal contributes to the reduction of the blood glucose rise after that meal,meal,['http://dbpedia.org/resource/Meal'],0,['http://en.wikipedia.org/wiki/Meal']
Copper contributes to maintenance of normal connective tissues,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
Copper contributes to normal energy-yielding metabolism,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
Copper contributes to normal functioning of the nervous system,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
Copper contributes to normal hair pigmentation,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
Copper contributes to normal iron transport in the body,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
Copper contributes to normal skin pigmentation,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
Copper contributes to the normal function of the immune system,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
Copper contributes to the protection of cells from oxidative stress,Copper,['http://dbpedia.org/resource/Copper'],0,['http://en.wikipedia.org/wiki/Copper']
"Creatine increases the physical performance in successive bursts of short-term, high intensity exercise ",Creatine,['http://dbpedia.org/resource/Creatine'],1,['http://en.wikipedia.org/wiki/Creatine']
DHA and EPA contribute to the maintenance of normal blood pressure,DHA,['http://dbpedia.org/resource/Docosahexaenoic_acid'],1,['http://en.wikipedia.org/wiki/Docosahexaenoic_acid']
DHA and EPA contribute to the maintenance of normal blood pressure,EPA,['http://dbpedia.org/resource/United_States_Environmental_Protection_Agency'],0,['http://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency']
DHA and EPA contribute to the maintenance of normal blood triglyceride levels ,DHA,['http://dbpedia.org/resource/Docosahexaenoic_acid'],1,['http://en.wikipedia.org/wiki/Docosahexaenoic_acid']
DHA and EPA contribute to the maintenance of normal blood triglyceride levels ,EPA,['http://dbpedia.org/resource/United_States_Environmental_Protection_Agency'],0,['http://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency']
DHA contributes to maintenance of normal brain function,DHA,['http://dbpedia.org/resource/Docosahexaenoic_acid'],1,['http://en.wikipedia.org/wiki/Docosahexaenoic_acid']
DHA contributes to the maintenance of normal blood triglyceride levels,DHA,['http://dbpedia.org/resource/Docosahexaenoic_acid'],1,['http://en.wikipedia.org/wiki/Docosahexaenoic_acid']
DHA contributes to the maintenance of normal vision,DHA,['http://dbpedia.org/resource/Docosahexaenoic_acid'],1,['http://en.wikipedia.org/wiki/Docosahexaenoic_acid']
Dried plums/prunes contribute to normal bowel function,Dried plums/prunes,"['', 'http://dbpedia.org/resource/Prunus_domestica', 'http://dbpedia.org/resource/Prune']",1,"['http://en.wikipedia.org/wiki/Food_drying', 'http://en.wikipedia.org/wiki/Plum', 'http://en.wikipedia.org/wiki/Prune']"
EPA and DHA contribute to the normal function of the heart,EPA,['http://dbpedia.org/resource/United_States_Environmental_Protection_Agency'],0,['http://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency']
EPA and DHA contribute to the normal function of the heart,DHA,['http://dbpedia.org/resource/Docosahexaenoic_acid'],1,['http://en.wikipedia.org/wiki/Docosahexaenoic_acid']
Fluoride contributes to the maintenance of tooth mineralisation,Fluoride,['http://dbpedia.org/resource/Fluoride'],1,['http://en.wikipedia.org/wiki/Fluoride']
Folate contributes to maternal tissue growth during pregnancy,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Folate contributes to normal amino acid synthesis,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Folate contributes to normal blood formation,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Folate contributes to normal homocysteine metabolism,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Folate contributes to normal psychological function,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Folate contributes to the normal function of the immune system,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Folate contributes to the reduction of tiredness and fatigue,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Folate has a role in the process of cell division,Folate,[''],0,['http://en.wikipedia.org/wiki/Folate']
Glucomannan contributes to the maintenance of normal blood cholesterol levels,Glucomannan,['http://dbpedia.org/resource/Glucomannan'],1,['http://en.wikipedia.org/wiki/Glucomannan']
Glucomannan in the context of an energy restricted diet contributes to weight loss,Glucomannan,['http://dbpedia.org/resource/Glucomannan'],1,['http://en.wikipedia.org/wiki/Glucomannan']
Guar gum contributes to the maintenance of normal blood cholesterol levels,Guar gum,"['http://dbpedia.org/resource/Guar', 'http://dbpedia.org/resource/Guar_gum', 'http://dbpedia.org/resource/Gum_(botany)']",1,"['http://en.wikipedia.org/wiki/Guar', 'http://en.wikipedia.org/wiki/Guar_gum', 'http://en.wikipedia.org/wiki/Gum_(botany)']"
Hydroxypropyl methylcellulose contributes to the maintenance of normal blood cholesterol levels,Hydroxypropyl methylcellulose,"['http://dbpedia.org/resource/Hypromellose', 'http://dbpedia.org/resource/Methyl_cellulose']",1,"['http://en.wikipedia.org/wiki/Hypromellose', 'http://en.wikipedia.org/wiki/Methyl_cellulose']"
Iodine contributes to normal cognitive function,Iodine,['http://dbpedia.org/resource/Iodine'],1,['http://en.wikipedia.org/wiki/Iodine']
Iodine contributes to normal energy-yielding metabolism,Iodine,['http://dbpedia.org/resource/Iodine'],1,['http://en.wikipedia.org/wiki/Iodine']
Iodine contributes to normal functioning of the nervous system,Iodine,['http://dbpedia.org/resource/Iodine'],1,['http://en.wikipedia.org/wiki/Iodine']
Iodine contributes to the maintenance of normal skin,Iodine,['http://dbpedia.org/resource/Iodine'],1,['http://en.wikipedia.org/wiki/Iodine']
Iodine contributes to the normal production of thyroid hormones and normal thyroid function,Iodine,['http://dbpedia.org/resource/Iodine'],1,['http://en.wikipedia.org/wiki/Iodine']
Iron contributes to normal cognitive function,Iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Iron contributes to normal energy-yielding metabolism,Iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Iron contributes to normal formation of red blood cells and haemoglobin,iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Iron contributes to normal oxygen transport in the body,Iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Iron contributes to the normal function of the immune system,Iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Iron contributes to the reduction of tiredness and fatigue,Iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Iron has a role in the process of cell division,Iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Lactase enzyme improves lactose digestion in individuals who have difficulty digesting lactose,Lactase enzyme,"['http://dbpedia.org/resource/Lactase', 'http://dbpedia.org/resource/Enzyme']",0,"['http://en.wikipedia.org/wiki/Lactase', 'http://en.wikipedia.org/wiki/Enzyme']"
Lactase enzyme improves lactose digestion in individuals who have difficulty digesting lactose,lactose,['http://dbpedia.org/resource/Lactose'],1,['http://en.wikipedia.org/wiki/Lactose']
Lactulose contributes to an acceleration of intestinal transit,Lactulose,['http://dbpedia.org/resource/Lactulose'],1,['http://en.wikipedia.org/wiki/Lactulose']
Linoleic acid contributes to the maintenance of normal blood cholesterol levels,Linoleic acid,"['http://dbpedia.org/resource/Linoleic_acid', 'http://dbpedia.org/resource/Acid']",1,"['http://en.wikipedia.org/wiki/Linoleic_acid', 'http://en.wikipedia.org/wiki/Acid']"
Live cultures in yoghurt or fermented milk improve lactose digestion of the product in individuals who have difficulty digesting lactose ,yoghurt,['http://dbpedia.org/resource/Yogurt'],1,['http://en.wikipedia.org/wiki/Yogurt']
Live cultures in yoghurt or fermented milk improve lactose digestion of the product in individuals who have difficulty digesting lactose ,fermented milk,"['http://dbpedia.org/resource/Fermented_milk_products', 'http://dbpedia.org/resource/Milk']",1,"['http://en.wikipedia.org/wiki/Fermented_milk_products', 'http://en.wikipedia.org/wiki/Milk']"
Magnesium contributes to a reduction of tiredness and fatigue,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to electrolyte balance,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to normal energy-yielding metabolism,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to normal functioning of the nervous system,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to normal muscle function,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to normal protein synthesis,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to normal psychological function,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to the maintenance of normal bones,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium contributes to the maintenance of normal teeth,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Magnesium has a role in the process of cell division,Magnesium,['http://dbpedia.org/resource/Magnesium'],1,['http://en.wikipedia.org/wiki/Magnesium']
Manganese contributes to normal energy-yielding metabolism,Manganese,['http://dbpedia.org/resource/Manganese'],1,['http://en.wikipedia.org/wiki/Manganese']
Manganese contributes to the maintenance of normal bones,Manganese,['http://dbpedia.org/resource/Manganese'],1,['http://en.wikipedia.org/wiki/Manganese']
Manganese contributes to the normal formation of connective tissues,Manganese,['http://dbpedia.org/resource/Manganese'],1,['http://en.wikipedia.org/wiki/Manganese']
Manganese contributes to the protection of cells from oxidative stress,Manganese,['http://dbpedia.org/resource/Manganese'],1,['http://en.wikipedia.org/wiki/Manganese']
Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,Meat,['http://dbpedia.org/resource/Meat'],0,['http://en.wikipedia.org/wiki/Meat']
Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,fish,['http://dbpedia.org/resource/Fish'],0,['http://en.wikipedia.org/wiki/Fish']
Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,iron,['http://dbpedia.org/resource/Iron'],0,['http://en.wikipedia.org/wiki/Iron']
Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,other foods containing iron,"['http://dbpedia.org/resource/Food', 'http://dbpedia.org/resource/Containment', 'http://dbpedia.org/resource/Iron']",0,"['http://en.wikipedia.org/wiki/Food', 'http://en.wikipedia.org/wiki/Containment', 'http://en.wikipedia.org/wiki/Iron']"
Melatonin contributes to the allevation of subjective feelings of jet lag,Melatonin,['http://dbpedia.org/resource/Melatonin'],1,['http://en.wikipedia.org/wiki/Melatonin']
Melatonin contributes to the reduction of time taken to fall asleep,Melatonin,['http://dbpedia.org/resource/Melatonin'],1,['http://en.wikipedia.org/wiki/Melatonin']
